text,language,century,region,script_type,shelfmark,verse,genre,project,line_type,gen_split,source_idx,image_path,source_corpus
gentement estoit fait. prist ung miroire bel et,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,test,42884,images/ligne_42884.png,CATMuS
Ioieusement maintenir. las quel damaige de cestui,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,test,42885,images/ligne_42885.png,CATMuS
seichir par faulte de ieunesse qui sur lui na aucune,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,dev,42886,images/ligne_42886.png,CATMuS
pour tant ce lui sambloit que son temps y pardoit,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,dev,42887,images/ligne_42887.png,CATMuS
peut Reposer. Non faisoit la dame. pour ce quelle,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42888,images/ligne_42888.png,CATMuS
en Ioie Et poura plus que deuant aux biens quamõ,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42889,images/ligne_42889.png,CATMuS
ainsi ꝯme celui quon fait couchier sans souper ne,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42890,images/ligne_42890.png,CATMuS
uertu ne dominacion. Or ne plaist Ia a dieu que Ie soie,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42891,images/ligne_42891.png,CATMuS
cler pour soy ueoir. se parceut sa face belle couloree,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42892,images/ligne_42892.png,CATMuS
si ne se peust tenir de Rire qui bien lui seoit. Et migno,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42893,images/ligne_42893.png,CATMuS
large. Et les mam̃elles dessuz assises. Rondee ⁊ droite,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42894,images/ligne_42894.png,CATMuS
fet lois la dame qui se cõmenca a merancolier Q,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42895,images/ligne_42895.png,CATMuS
tement. puis Regarda par une fenestre en ung Iardin,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42896,images/ligne_42896.png,CATMuS
ou Il faisoit deduisant. Et y chantoient les oiselles,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42897,images/ligne_42897.png,CATMuS
⁊ plaisant. la facon de sa blanche poitrine. ommĩ ia,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42898,images/ligne_42898.png,CATMuS
Com̃ent la dame de hantonne fist mourir,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,HeadingLine,train,42899,images/ligne_42899.png,CATMuS
Uiure en Ioieusete et user ma ieunesse aut̾ment que,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42900,images/ligne_42900.png,CATMuS
a faire conseille. auoit ung escuier en qui plus auoit,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42901,images/ligne_42901.png,CATMuS
AINS,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,HeadingLine,train,42902,images/ligne_42902.png,CATMuS
helas,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,HeadingLine,train,42903,images/ligne_42903.png,CATMuS
Ie nay fait Ia par lespasse de sept annees,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42904,images/ligne_42904.png,CATMuS
uiellart qui par sa uiellesse aneantira mon corps qui,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42905,images/ligne_42905.png,CATMuS
elle se lassa gentement en manĩant son corps qui,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42906,images/ligne_42906.png,CATMuS
La faulce dame ainsi endoctrinee du deable qui tous ma,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42907,images/ligne_42907.png,CATMuS
si betes et si bien deliurer que Ien auray ung qui,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42908,images/ligne_42908.png,CATMuS
Et lui dist,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42909,images/ligne_42909.png,CATMuS
quelle lauoit de longue main nourry. Elle lapella par,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42910,images/ligne_42910.png,CATMuS
elle pencoit moult souuent. Et quant elle fut leuee,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42911,images/ligne_42911.png,CATMuS
son mary pour espouser Doon de maiance,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,HeadingLine,train,42912,images/ligne_42912.png,CATMuS
sera a mon plaisir ieune amoureux et puissant. pour,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42913,images/ligne_42913.png,CATMuS
quelle heure peut Ie estre nee. qui ne suy a mon gre ꝑ,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42914,images/ligne_42914.png,CATMuS
ma face me lessera palir. ma grant beaulte flestrir et,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42915,images/ligne_42915.png,CATMuS
pour ce que cestoit ou temps deste. Sy fut ꝯme Raine,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42916,images/ligne_42916.png,CATMuS
mariaige assignee a hõme qui aueques moy se scent,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42917,images/ligne_42917.png,CATMuS
Matin ⟦dempes⟧ dempres son seignr̾ on Ie lui ennuya,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42918,images/ligne_42918.png,CATMuS
nauoit mie ce quelle eust bñ. uoulu auoir. A quoy,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42919,images/ligne_42919.png,CATMuS
enuoie dont Ie lui sembloit auoir petite part,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42920,images/ligne_42920.png,CATMuS
son nom ung iour que sa uoulente ne peust plus celer,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42921,images/ligne_42921.png,CATMuS
et entree en son Retrait qui bel et plaisant estoit,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42922,images/ligne_42922.png,CATMuS
grant fiance quen nul autre de son hostel. pour ce,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42923,images/ligne_42923.png,CATMuS
ꝯsentante dainsi languir empres lui longuement. Car,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42924,images/ligne_42924.png,CATMuS
plus nen pourria pourroie endurer. Rins men cuide,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42925,images/ligne_42925.png,CATMuS
tu scez que que ie tay longuement,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42926,images/ligne_42926.png,CATMuS
Et aussi quelle ne pouoit dormir ꝯme se faisoit. tout,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42927,images/ligne_42927.png,CATMuS
que uous dictes. Et aies pitie de urẽ enfant bonsuomet,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,test,42928,images/ligne_42928.png,CATMuS
au Iour duy decepuoir. dont dieux ⟦gart⟧ uous. ⟦Et⟧,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,test,42929,images/ligne_42929.png,CATMuS
ꝓmetoit sacorda a sa Requeste. qui fut telle,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,dev,42930,images/ligne_42930.png,CATMuS
que tu qui as par toux lieux ceans loy. et liberte daler,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,dev,42931,images/ligne_42931.png,CATMuS
puis lui Rp̾ndi,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42932,images/ligne_42932.png,CATMuS
fiañ. Et A este mon esperance que Ad ce faire me,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42933,images/ligne_42933.png,CATMuS
si secret que nul si non moy et toy en saiche ou puisse,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42934,images/ligne_42934.png,CATMuS
grace de plus en plus. ꝯuoitant la s̾man quelle lui,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42935,images/ligne_42935.png,CATMuS
cigure. Et que en la uiande qui sera portee deuant le,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42936,images/ligne_42936.png,CATMuS
Ie te uailleray affin que de son corps ne soie Iamais,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42937,images/ligne_42937.png,CATMuS
cest le deable ꝑ son mauuaix malice qui uous suida,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42938,images/ligne_42938.png,CATMuS
set elle que Ie suy Ieune Dame belle ꝯme cħun le dit,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42939,images/ligne_42939.png,CATMuS
enfance. et depuis tay fait tout tel cõme tu es. si ne,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42940,images/ligne_42940.png,CATMuS
dautruy. Or ꝯme Ie tay Ia dit ay Ie en toy parfaicte,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42941,images/ligne_42941.png,CATMuS
Deuenir et ꝯmrar⟧. te tremuee en ceste iournee en la,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42942,images/ligne_42942.png,CATMuS
ma dame fet Il pour dieu Reg̾dez,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42943,images/ligne_42943.png,CATMuS
nourry et gouu̾ne Ie tachetay du lion ou tu estoies en,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42944,images/ligne_42944.png,CATMuS
plus est uielx .xxx. ans quil ne me feust mestier se,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42945,images/ligne_42945.png,CATMuS
du pe̾. Or me merueil qui uous moult Et qui ⟦se⟧ ce,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42946,images/ligne_42946.png,CATMuS
telle cruaulte Ie se seigna assez de la m̾ueille,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42947,images/ligne_42947.png,CATMuS
Sainte marie ꝯme fait guinement mout dolant. et,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42948,images/ligne_42948.png,CATMuS
dois ce plaisir auoir mis en oubly. Mais dois estre A,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42949,images/ligne_42949.png,CATMuS
uous conseille a faire ⟦par son faulx malice⟧ Ie croy q̃,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42950,images/ligne_42950.png,CATMuS
ton pouoir apareillie de moy. Recompencer. tout ainsi,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42951,images/ligne_42951.png,CATMuS
mie la desloyaulte de la dame. desirant estre en sa,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42952,images/ligne_42952.png,CATMuS
⟦m⟧ Auries certes. qui seroit ausi piteuse chose ꝯme,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42953,images/ligne_42953.png,CATMuS
empeschiee,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42954,images/ligne_42954.png,CATMuS
ꝯme Ie te uouldroie ou pourroie Requerir. Ores ce,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42955,images/ligne_42955.png,CATMuS
MERCI,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,HeadingLine,train,42956,images/ligne_42956.png,CATMuS
