text,image_path,language,century,shelfmark,project,source_corpus,source_page
"Loys, par la grace de Dieu roy de France. Savoir faisons à tous, presens et avenir, nous avoir receue l’umble supplicacion",images_himanis/himanis_00000.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"de nostre bien amé Jehan Berthelemy, prebstre, curé de l’église parrochial de Bresde ou diocèse de Maillezays, contenant que,",images_himanis/himanis_00001.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"à l’occasion de certaine question que les religieux et prieur de Saint-Jacques du Couldray, de Saint-Augustin ou diocèse",images_himanis/himanis_00002.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"de Maillezays, et ledit suppliant, curé susdit, avoient eu pour percepcion des dixmes de gerbes de blé en certaines pièces de terres estans",images_himanis/himanis_00003.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"en et au dedans de ladicte parroisse, et lesquelles appartiennent audit curé, sans ce que lesdiz religieux en eussent eu jamais possession",images_himanis/himanis_00004.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"ne saisine, eulx religieux du Couldray, en temps de mestives de l’année mil cccc. soixante dix sept derrenière ou environ, de",images_himanis/himanis_00005.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"leur voulenté indeue et desordonnée, se transportèrent en une pièce de terre estant en ladicte parroisse du Couldray, qui estoit en",images_himanis/himanis_00006.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"et au dedans de ladicte disme d’icellui suppliant curé susdit, pour en lever le blé lors creu en une pièce de terre ; lequel suppliant estant",images_himanis/himanis_00007.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"lors en ladicte pièce de terre, pour faire lever sondit droit de disme et garder sadicte possession, respondy gracieusement ausdiz",images_himanis/himanis_00008.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"religieux que ladicte disme lui appartenoit et qu’il en estoit en possession, mais que ce non obstant qu’il estoit content que lui et lesdiz religieux",images_himanis/himanis_00009.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
levassent et perceussent ledit droit de disme d’icelle pièce et qu’il fust mis en garde et depposé en une tierce personne,images_himanis/himanis_00010.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"digne de foy, jusques à ce qu’il fust décidé par justice ou autrement à qui il appartiendroit. Maiz nonobstant les dictes responce",images_himanis/himanis_00011.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"gracieuse et offre raisonnable, lesdiz religieux, entre lesquelz estoit feu frère Jehan Bertran, prebstre religieux dudit ordre",images_himanis/himanis_00012.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"de Saint-Augustin, en blasphement le nom de Dieu et des Sains, disdrent qu’ilz emporteroient lesdictes gerbes de disme, voulsist",images_himanis/himanis_00013.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
ou non ledit suppliant curé susdit. Et après ce que lesdiz religieux furent derechef venuz à prandre et lever ledit droit de disme,images_himanis/himanis_00014.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"de ladicte pièce de terre, en laquelle estoit lors ledit suppliant curé susdit, qui y avoit trois hommes amenez, desquelz l’un",images_himanis/himanis_00015.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
prenoit et percevoit ledit droit de disme d’icellui curé et les austres deulx estoient venuz pour l’accompaigner,images_himanis/himanis_00016.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"sans aucunes armeures invasibles ne vouloir invader ne oultrager ledit feu Bertran ne autres, maiz seulement",images_himanis/himanis_00017.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"pour acompaigner ledit curé, ledit feu frère Bertran en grant fureur esmeu se adressa à l’un des hommes estans en la",images_himanis/himanis_00018.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"compaignie dudit curé, lui demandant par grant arrogance pourquoy il estoit illec venu. Et lesdictes parolles",images_himanis/himanis_00019.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"dictes, sans ce que ledit homme respondist aucune chose audit feu Bertran, icellui Bertran, avec ung groz baston qu’il tenoit",images_himanis/himanis_00020.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"en sa main, en bailla et donna deux grans coups sur la teste tant qu’il peut et tellement que desdiz coups il l’abaty",images_himanis/himanis_00021.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"à terre. Et par après icellui compaignon, congnoissant que le plus de la douleur dudit coup lui estoit passée, se releva et",images_himanis/himanis_00022.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
"recouvra ledit baston, duquel il en bailla semblablement deux coups audit religieux, l’un par la teste et l’autre par le braz,",images_himanis/himanis_00023.png,French,15,"Paris, AN, JJ207",HIMANIS-Guerin,HIMANIS,FRAN_0021_33444_A.jpg
